X,Y,FID,Location_I,Site_Name,Address1,Address2,City,State,Zip,County,Start_Date,Latitude,Longitude,GlobalID
-9005396.2601,4247201.9615,122,CCB0043,Thomas S. Wilson Track 3 Lake Norman Airport,Yeager Road,-,Mooresville,NC,28117,Iredell,1995/12/08 00:00:00,35.610819,-80.896851,{8BB4C6E4-53F3-4F0F-971F-8F401A735C4C}
-8995628.4201,4247832.1125,123,CCB0044,"BK Barringer, Jr's Lots 1,2,3&4 - Mezzepa Rd Industrial Park",Mezzepa Road,(Bevan Drive),Mooresville,NC,28115,Iredell,1995/09/10 00:00:00,35.615421,-80.809105,{1895A0DB-C57D-46DA-8418-8ED4BB5771C1}
-8995626.6389,4247818.4192,124,CCB0045,"BK Barringer, Jr's Lots 5&6 - Mezzepa Rd. Industrial Park",Mezzepa Road,(Bevan Drive),Mooresville,NC,28115,Iredell,1995/09/10 00:00:00,35.615321,-80.809089,{3501969F-DF9D-4940-91B7-37A7B6A7C6B1}
-8995634.4313,4247756.1146,125,CCB0046,"BK Barringer, Jr's Lots 7&8 - Mezzepa Rd. Industrial Park",Mezzepa Road,(Bevan Drive),Mooresville,NC,28115,Iredell,1995/09/10 00:00:00,35.614866,-80.809159,{846950E3-17EA-4065-B8F8-87112426716A}
-8995757.9959,4247595.4935,126,CCB0047,"BK Barringer, Jr's Lot 13 - Mezzepa Rd. Industrial Park",Mezzepa Road,(Bevan Drive),Mooresville,NC,28115,Iredell,1995/09/10 00:00:00,35.613693,-80.810269,{6C599C9B-7E8A-492C-9D06-5D36231EAE10}
-8995756.7714,4247640.9547,127,CCB0048,"BK Barringer, JR.'s Lot 14 - Mezzepa Rd. Industrial Pk",Mezzepa Road,(Bevan Drive),Mooresville,NC,28115,Iredell,1995/12/15 00:00:00,35.614025,-80.810258,{EF30D13A-6C5A-4748-B85A-2C9636D2A11C}
-8999212.4624,4242795.2034,128,CCB0049,Brawley School Road,Brawley School Road,-,Mooresville,NC,28117,Iredell,1995/03/01 00:00:00,35.578629,-80.841301,{1052B9FD-CCA0-4C57-933E-526015871A6F}
-9001878.3416,4245334.0408,129,CCB0050,EJ Bill Simpson Property,Bluefield Road and Regency Center Drive,-,Mooresville,NC,28117,Iredell,1997/07/01 00:00:00,35.597176,-80.865249,{20A1D9E3-AF0F-47AA-85B2-A86271CC1FAD}
-8999484.3046,4244496.9138,130,CCB0051,"Terry K. Smith; Highway 150 Project",NC Highway 150,-,Mooresville,NC,28117,Iredell,1994/07/29 00:00:00,35.591061,-80.843743,{9D3C22E6-3CBA-4306-BAFE-E165FC23C260}
-9001882.5717,4244770.9751,131,CCB0052,Port Village Business Park,NC Highway 150,-,Mooresville,NC,28117,Iredell,1996/06/01 00:00:00,35.593063,-80.865287,{9BC2CE8A-B7AC-4F79-86F1-65F37BEFC967}
