Responsible Company,Latitude,Longitude,State,Water Reached?,Total
PAUL MILLER TRUCKING,41.53653,-72.7981, CT,Yes,0
PHILADELPHIA FIRE DEPT,39.91660635,-75.18060153, PA,Yes,0
PHILADELPHIA FIRE DEPT,(blank),(blank), PA,Yes,0
PHILADELPHIA NAVAL SHIP,39.95222,-75.16218, PA,Yes,0
PHILADELPHIA NAVY SHPYRD,39.9454159,-75.14390523, PA,Yes,0
POCATELLO FIRE DEPT,42.87115087,-112.4666161, ID,Yes,0
PORT AUTHORITIES,40.64454,-73.79536, NY,Yes,0
PORT AUTHORITY NY/NJ,40.85480451,-73.97035107, NJ,Yes,0
PORT OF BELLINGHAM,48.78966975,-122.5340266, WA,No,0
PORT OF BELLINGHAM,48.79537207,-122.5307177, WA,No,0
PORT OF BELLINGHAM,48.79537207,-122.5307177,,Yes,0
PORTSMOUTH NAVAL SHIPYARD,43.08372,-70.73967, ME,Yes,0
PPG IND,38.81658135,-90.83175765, MO,Yes,0
PROMET MARINE,41.80154929,-71.4007196, RI,Yes,0
PROVIDENCE,30.43521869,-86.6836481, FL,No,0
PSC,29.799693,-95.30175448, TX,Yes,0
PSE&G,41.01733997,-74.12711216, NJ,Unknown,0
PSE&G,41.01733997,-74.12711216,,Yes,0
PSIZER PHARMECUTICAL LIMITED,18.45104015,-66.34848589, PR,Yes,0
PUBLIC WORKS CENTER NORFOLK,36.84686,-76.28514, VA,No,0
R&L CARRIERS,32.60829,-85.48173, AL,Yes,0
RAILROAD CONSTRUCTION COMPANY,39.83129807,-75.23650915, NJ,Yes,0
RAYTHEON AIRCRAFT SERVICES,27.966681,-82.52399747, FL,Yes,0
REFINERY TERMINAL FIRE CO,27.85500056,-97.55919954, TX,Yes,0
RHODIA,30.509847,-91.18656, LA,No,0
RIGHT PATTERSON AIRFORCE BASE,39.73256,-84.21133, OH,Yes,0
RIGHT PATTERSON AIRFORCE BASE,39.9402,-84.028425, OH,Yes,0
S.C.A. TISSUE NORTH AMERICA LLC,44.20474019,-88.45319105, WI,No,0
SACRAMENTO COUNTY AIRPORT SYSTEM,38.557377,-121.3126695, CA,No,0
SAFETY KLEEN,41.65019358,-87.47742086, IN,Yes,0
SAFETY KLEEN CORP,39.98355912,-82.47508211, OH,Yes,0
SALT LAKE CITY DEPARTMENT OF AIRPORTS,40.7946646,-111.9879525, UT,Yes,0
SAN DIEGO GAS AND ELECTRIC,32.68530831,-116.9795172, CA,No,0
SAN FRANCISCO FIRE DEPT.,37.622425,-122.3965, CA,Yes,0
SANDIA FISHING CORP. - F/V ANCORA PRAIA,42.04967,-70.18846, MA,Yes,0
SANITATION DEPT OF CITY OF DALLAS,32.85487979,-96.87955379, TX,Yes,0
SANTA BARBARA CITY P.D. AND F.D,47.51415206,-122.0296441, CA,Yes,0
SANTA CRUZ CENTRAL PROT,36.98240995,-121.9369701, CA,Yes,0
SANTA CRUZ FIRE DEPT,36.96272528,-121.9998274, CA,Yes,0
SCHENECTADY CHEMICAL INC,42.861114,-74.0286495, NY,Yes,0
SCHNITZER STEEL,47.28352647,-122.520036, WA,Yes,0
SEATTLE FIRE DEPARTMENT,47.68454827,-122.4028563, WA,Yes,0
