X,Y,OBJECTID,FD_ID,DEPT_NAME,STATION_NUMBER,STATION_ADDRESS,CITY,STATE,COUNTY,ZIP_CODE,LATITUDE,LONGITUDE
-76.94917358,35.37012625,22977,709,"Blounts Creek Volunteer Fire Department, Inc.",1,13965 NC Highway 33 East,Blounts Creek,NC,Beaufort,27814,35.37,-76.95
-81.67088775,36.13010763,22978,9502,Blowing Rock Fire & Rescue,1,8001 Valley Blvd,Blowing Rock,NC,Watauga,28605,36.13,-81.67
-81.74813649,36.12057732,22979,9502,Blowing Rock Fire & Rescue,2,6165 US Hwy 221 S,Blowing Rock,NC,Watauga,28605,36.12,-81.75
-81.6216,36.16055,22980,9502,Blowing Rock Fire & Rescue,3,2409 Aho Road,Blowing Rock,NC,Watauga,28605,36.16,-81.62
-77.1085,35.9996,22981,813,"Blue Jay Volunteer Fire Company, Inc.",1,1653 Indianwoods Rd,Windsor,NC,Bertie,27983,36.00,-77.11
-82.4212414,35.29023432,22982,4502,"Blue Ridge Fire & Rescue, Inc.",1,2503 Old Spartanburg Road,East Flat Rock,NC,Henderson,28726,35.29,-82.42
-82.44080688,35.274,22983,4502,"Blue Ridge Fire & Rescue, Inc.",2,77 Village Center Drive,Flat Rock,NC,Henderson,28731,35.27,-82.44
-78.06820268,34.03184001,22984,1001,Boiling Spring Lakes Fire Rescue,1,3059 George II Hwy ,Southport,NC,Brunswick,28461,34.03,-78.07
-78.03118735,34.06465777,22985,1001,Boiling Spring Lakes Fire Rescue,2,2440 Frink Lake DR,Southport,NC,Brunswick,28461,34.06,-78.03
-78.03550268,34.02854674,22986,1001,Boiling Spring Lakes Fire Rescue,3,900 Fifty Lakes Dr,Southport,NC,Brunswick,28461,34.03,-78.04
-81.6653,35.2501,22987,2302,Boiling Springs City Fire Department,1,114 E. College St.,Boiling Springs,NC,Cleveland,28017,35.25,-81.67
-81.667272,35.253572,22988,2304,Boiling Springs Fire and Rescue,1,149 N. Main St.,Boiling Springs,NC,Cleveland,28017,35.25,-81.67
-81.7148,35.1856,22989,2304,Boiling Springs Fire and Rescue,2,2479 McCraw Road,Mooresboro,NC,Cleveland,28114,35.19,-81.71
-78.1494,34.065666,22990,1002,Bolivia Volunteer Fire Department,1,3848 Old Ocean Hwy,Bolivia,NC,Brunswick,28422,34.07,-78.15
-78.40740688,34.31984683,22991,2402,"Bolton Volunteer Fire and Rescue Department, Inc.",1,225 9th St.,Bolton,NC,Columbus,28423,34.32,-78.41
-79.41777551,35.645539,22992,1902,"Bonlee Fire Department, Inc.",1,185 Bonlee Bennett Rd,Bonlee,NC,Chatham,27213,35.65,-79.42
